win_balls_summ,win_times
143,20
145,19
118,18
140,17
130,17
144,17
113,16
111,16
136,16
125,15
141,15
134,14
120,14
138,14
152,14
132,13
146,12
131,12
133,12
112,12
108,12
135,12
109,11
101,11
139,11
127,11
124,11
150,11
137,11
158,11
115,11
103,10
114,10
92,10
123,10
121,10
128,10
129,10
126,9
122,9
147,9
102,9
116,9
100,9
95,9
119,9
98,8
148,8
161,8
142,8
151,8
110,8
154,8
117,8
170,7
155,7
172,7
99,7
105,7
91,7
96,7
166,7
107,7
97,7
164,6
159,6
162,6
165,6
176,6
171,6
149,6
168,5
106,5
77,5
83,5
169,5
86,5
87,5
153,5
90,5
178,4
89,4
177,4
173,4
104,4
156,4
84,4
157,4
82,4
78,3
187,3
180,3
81,3
167,3
88,3
195,3
163,3
94,3
160,3
175,2
58,2
185,2
69,2
182,2
67,2
186,2
80,2
73,2
68,2
75,2
201,2
74,2
197,2
57,1
199,1
181,1
54,1
198,1
189,1
193,1
62,1
72,1
65,1
191,1
190,1
45,1
174,1
183,1
179,1
85,1
188,1
194,1
93,1
56,1
